meterNumber,meterType,meterModel,meterSerialNumber,meterOwner,capacity,volt,category,phase,meterDigit,region,vendorName,cartonID,meterSequence,defaultUnit,manufacturerName,accuracy,prepaidMeterType,destinationStore,storeAddress,storeManagerName,storeManagerContact,meterSeries
727845692,,VIOIFOWE20077,4.40E+15,Elvic,10741,415V,Non-MD,1-Phase,10699,,Elvic,GIFWOEFO3893519,12,30,TOES,10694,Smart meter,GGC,Maskat town,Rom,10773,8709 - 5
727845693,,VIOIFOWE20078,4.40E+15,Elvic,10742,415V,Non-MD,1-Phase,10700,,Elvic,GIFWOEFO3893519,12,30,TOES,10695,Smart meter,GGC,Maskat town,Rom,10774,8710 - 5
727845694,,VIOIFOWE20079,4.40E+15,Elvic,10743,415V,Non-MD,1-Phase,10701,,Elvic,GIFWOEFO3893519,12,30,TOES,10696,Smart meter,GGC,Maskat town,Rom,10775,8711 - 5
727845695,,VIOIFOWE20080,4.40E+15,Elvic,10744,415V,Non-MD,1-Phase,10702,,Elvic,GIFWOEFO3893519,12,30,TOES,10697,Smart meter,GGC,Maskat town,Rom,10776,8712 - 5
727845696,,VIOIFOWE20081,4.40E+15,Elvic,10745,415V,Non-MD,1-Phase,10703,,Elvic,GIFWOEFO3893519,12,30,TOES,10698,Smart meter,GGC,Maskat town,Rom,10777,8713 - 5
727845697,,VIOIFOWE20082,4.40E+15,Elvic,10746,415V,Non-MD,1-Phase,10704,,Elvic,GIFWOEFO3893519,12,30,TOES,10699,Smart meter,GGC,Maskat town,Rom,10778,8714 - 5
727845698,,VIOIFOWE20083,4.40E+15,Elvic,10747,415V,Non-MD,1-Phase,10705,,Elvic,GIFWOEFO3893519,12,30,TOES,10700,Smart meter,GGC,Maskat town,Rom,10779,8715 - 5
727845699,,VIOIFOWE20084,4.40E+15,Elvic,10748,415V,Non-MD,3-Phase,10706,,Elvic,GIFWOEFO3893518,12,30,TOES,10701,Smart meter,GGC,Maskat town,Rom,10780,8716 - 5
727845700,,VIOIFOWE20085,4.40E+15,Elvic,10749,415V,Non-MD,3-Phase,10707,,Elvic,GIFWOEFO3893518,12,30,TOES,10702,Smart meter,GGC,Maskat town,Rom,10781,8717 - 5
727845701,,VIOIFOWE20086,4.40E+15,Elvic,10750,415V,Non-MD,3-Phase,10708,,Elvic,GIFWOEFO3893518,12,30,TOES,10703,Smart meter,GGC,Maskat town,Rom,10782,8718 - 5
727845702,,VIOIFOWE20087,4.40E+15,Elvic,10751,415V,Non-MD,3-Phase,10709,,Elvic,GIFWOEFO3893518,12,30,TOES,10704,Smart meter,GGC,Maskat town,Rom,10783,8719 - 5
727845703,,VIOIFOWE20088,4.40E+15,Elvic,10752,415V,Non-MD,3-Phase,10710,,Elvic,GIFWOEFO3893518,12,30,TOES,10705,Smart meter,GGC,Maskat town,Rom,10784,8720 - 5
727845704,,VIOIFOWE20089,4.40E+15,Elvic,10753,415V,Non-MD,3-Phase,10711,,Elvic,GIFWOEFO3893518,12,30,TOES,10706,Smart meter,GGC,Maskat town,Rom,10785,8721 - 5
727845705,,VIOIFOWE20090,4.40E+15,Elvic,10754,415V,Non-MD,3-Phase,10712,,Elvic,GIFWOEFO3893518,12,30,TOES,10707,Smart meter,GGC,Maskat town,Rom,10786,8722 - 5
727845706,,VIOIFOWE20091,4.40E+15,Elvic,10755,415V,Non-MD,3-Phase,10713,,Elvic,GIFWOEFO3893518,12,30,TOES,10708,Smart meter,GGC,Maskat town,Rom,10787,8723 - 5
727845707,,VIOIFOWE20092,4.40E+15,Elvic,10756,415V,Non-MD,3-Phase,10714,,Elvic,GIFWOEFO3893518,12,30,TOES,10709,Smart meter,GGC,Maskat town,Rom,10788,8724 - 5
727845708,,VIOIFOWE20093,4.40E+15,Elvic,10757,415V,Non-MD,3-Phase,10715,,Elvic,GIFWOEFO3893518,12,30,TOES,10710,Smart meter,GGC,Maskat town,Rom,10789,8725 - 5
727845709,,VIOIFOWE20094,4.40E+15,Elvic,10758,415V,Non-MD,3-Phase,10716,,Elvic,GIFWOEFO3893518,12,30,TOES,10711,Smart meter,GGC,Maskat town,Rom,10790,8726 - 5
727845710,,VIOIFOWE20095,4.40E+15,Elvic,10759,415V,Non-MD,3-Phase,10717,,Elvic,GIFWOEFO3893518,12,30,TOES,10712,Smart meter,GGC,Maskat town,Rom,10791,8727 - 5
727845711,,VIOIFOWE20096,4.40E+15,Elvic,10760,415V,Non-MD,3-Phase,10718,,Elvic,GIFWOEFO3893518,12,30,TOES,10713,Smart meter,GGC,Maskat town,Rom,10792,8728 - 5
727845712,,VIOIFOWE20097,4.40E+15,Elvic,10761,415V,Non-MD,3-Phase,10719,,Elvic,GIFWOEFO3893518,12,30,TOES,10714,Smart meter,GGC,Maskat town,Rom,10793,8729 - 5
727845713,,VIOIFOWE20098,4.40E+15,Elvic,10762,415V,Non-MD,3-Phase,10720,,Elvic,GIFWOEFO3893518,12,30,TOES,10715,Smart meter,GGC,Maskat town,Rom,10794,8730 - 5
727845714,,VIOIFOWE20099,4.40E+15,Elvic,10763,415V,Non-MD,3-Phase,10721,,Elvic,GIFWOEFO3893518,12,30,TOES,10716,Smart meter,GGC,Maskat town,Rom,10795,8731 - 5
727845715,,VIOIFOWE20100,4.40E+15,Elvic,10764,415V,Non-MD,3-Phase,10722,,Elvic,GIFWOEFO3893518,12,30,TOES,10717,Smart meter,GGC,Maskat town,Rom,10796,8732 - 5
727845716,,VIOIFOWE20101,4.40E+15,Elvic,10765,415V,Non-MD,3-Phase,10723,,Elvic,GIFWOEFO3893518,12,30,TOES,10718,Smart meter,GGC,Maskat town,Rom,10797,8733 - 5
727845717,,VIOIFOWE20102,4.40E+15,Elvic,10766,415V,Non-MD,3-Phase,10724,,Elvic,GIFWOEFO3893518,12,30,TOES,10719,Smart meter,GGC,Maskat town,Rom,10798,8734 - 5
727845718,,VIOIFOWE20103,4.40E+15,Elvic,10767,415V,Non-MD,3-Phase,10725,,Elvic,GIFWOEFO3893518,12,30,TOES,10720,Smart meter,GGC,Maskat town,Rom,10799,8735 - 5
727845719,,VIOIFOWE20104,4.40E+15,Elvic,10768,415V,Non-MD,3-Phase,10726,,Elvic,GIFWOEFO3893518,12,30,TOES,10721,Smart meter,GGC,Maskat town,Rom,10800,8736 - 5
727845720,,VIOIFOWE20105,4.40E+15,Elvic,10769,415V,Non-MD,3-Phase,10727,,Elvic,GIFWOEFO3893518,12,30,TOES,10722,Smart meter,GGC,Maskat town,Rom,10801,8737 - 5
727845721,,VIOIFOWE20106,4.40E+15,Elvic,10770,415V,Non-MD,3-Phase,10728,,Elvic,GIFWOEFO3893518,12,30,TOES,10723,Smart meter,GGC,Maskat town,Rom,10802,8738 - 5
727845722,,VIOIFOWE20107,4.40E+15,Elvic,10771,415V,Non-MD,3-Phase,10729,,Elvic,GIFWOEFO3893518,12,30,TOES,10724,Smart meter,GGC,Maskat town,Rom,10803,8739 - 5
727845723,,VIOIFOWE20108,4.40E+15,Elvic,10772,415V,Non-MD,3-Phase,10730,,Elvic,GIFWOEFO3893518,12,30,TOES,10725,Smart meter,GGC,Maskat town,Rom,10804,8740 - 5
727845724,,VIOIFOWE20109,4.40E+15,Elvic,10773,415V,Non-MD,3-Phase,10731,,Elvic,GIFWOEFO3893518,12,30,TOES,10726,Smart meter,GGC,Maskat town,Rom,10805,8741 - 5
727845725,,VIOIFOWE20110,4.40E+15,Elvic,10774,415V,Non-MD,3-Phase,10732,,Elvic,GIFWOEFO3893518,12,30,TOES,10727,Smart meter,GGC,Maskat town,Rom,10806,8742 - 5
727845726,,VIOIFOWE20111,4.40E+15,Elvic,10775,415V,Non-MD,3-Phase,10733,,Elvic,GIFWOEFO3893518,12,30,TOES,10728,Smart meter,GGC,Maskat town,Rom,10807,8743 - 5
727845727,,VIOIFOWE20112,4.40E+15,Elvic,10776,415V,Non-MD,3-Phase,10734,,Elvic,GIFWOEFO3893518,12,30,TOES,10729,Smart meter,GGC,Maskat town,Rom,10808,8744 - 5
727845728,,VIOIFOWE20113,4.40E+15,Elvic,10777,415V,Non-MD,3-Phase,10735,,Elvic,GIFWOEFO3893518,12,30,TOES,10730,Smart meter,GGC,Maskat town,Rom,10809,8745 - 5
727845729,,VIOIFOWE20114,4.40E+15,Elvic,10778,415V,Non-MD,3-Phase,10736,,Elvic,GIFWOEFO3893518,12,30,TOES,10731,Smart meter,GGC,Maskat town,Rom,10810,8746 - 5
727845730,,VIOIFOWE20115,4.40E+15,Elvic,10779,415V,Non-MD,3-Phase,10737,,Elvic,GIFWOEFO3893518,12,30,TOES,10732,Smart meter,GGC,Maskat town,Rom,10811,8747 - 5
727845731,,VIOIFOWE20116,4.40E+15,Elvic,10780,415V,Non-MD,3-Phase,10738,,Elvic,GIFWOEFO3893518,12,30,TOES,10733,Smart meter,GGC,Maskat town,Rom,10812,8748 - 5
727845732,,VIOIFOWE20117,4.40E+15,Elvic,10781,415V,Non-MD,3-Phase,10739,,Elvic,GIFWOEFO3893518,12,30,TOES,10734,Smart meter,GGC,Maskat town,Rom,10813,8749 - 5
727845733,,VIOIFOWE20118,4.40E+15,Elvic,10782,415V,Non-MD,3-Phase,10740,,Elvic,GIFWOEFO3893518,12,30,TOES,10735,Smart meter,GGC,Maskat town,Rom,10814,8750 - 5
